市区町村,種別,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
北海道下川町,住宅地,100,100,100,100,100,100,98.03921569,96.07843137,94.11764706,92.15686275,91.17647059
北海道美深町,住宅地,100,97.4789916,94.95798319,92.43697479,87.39495798,84.03361345,83.19327731,81.51260504,79.83193277,78.1512605,76.47058824
北海道上川町,住宅地,100,96.66666667,94.16666667,91.66666667,88.33333333,85,81.66666667,78.33333333,75,71.66666667,69.16666667
北海道歌志内市,住宅地,100,97.54098361,95.08196721,91.80327869,88.52459016,85.24590164,81.14754098,77.04918033,73.7704918,71.31147541,68.85245902
北海道滝上町,住宅地,100,96.96969697,93.93939394,90.90909091,87.87878788,84.84848485,81.81818182,78.78787879,75.75757576,72.72727273,71.21212121
青森県田舎館村,工業地,100,98.61111111,97.22222222,97.22222222,97.22222222,97.22222222,97.22222222,97.22222222,97.22222222,97.22222222,97.22222222
岡山県吉備中央町,住宅地,100,97.05159705,95.82309582,94.59459459,93.36609337,91.89189189,90.41769042,88.94348894,87.46928747,85.995086,84.52088452
北海道夕張市,住宅地,100,92.68292683,87.80487805,82.92682927,79.26829268,74.3902439,71.95121951,69.51219512,67.07317073,64.63414634,62.19512195
北海道雄武町,住宅地,100,96.59090909,94.31818182,92.04545455,89.77272727,87.5,85.22727273,82.95454545,80.68181818,78.40909091,76.13636364
北海道石狩市,工業地,100,95.65217391,93.47826087,89.13043478,89.13043478,89.13043478,91.30434783,95.65217391,110.8695652,130.4347826,156.5217391
群馬県嬬恋村,住宅地,100,95.69892473,92.47311828,89.24731183,86.23655914,83.65591398,81.72043011,80.64516129,79.78494624,79.56989247,79.56989247
北海道浜頓別町,住宅地,100,98.93617021,95.74468085,92.55319149,89.36170213,86.17021277,84.04255319,81.91489362,79.78723404,77.65957447,76.06382979
北海道標茶町,住宅地,100,100,100,100,100,100,100,100,100,100,98.98989899
北海道興部町,住宅地,100,96.11650485,94.17475728,92.23300971,90.29126214,88.34951456,86.40776699,84.46601942,82.52427184,80.58252427,78.6407767
北海道浦幌町,住宅地,100,99.02912621,98.05825243,97.08737864,95.14563107,94.17475728,92.23300971,90.29126214,88.34951456,87.37864078,86.40776699
兵庫県佐用町,住宅地,100,98.07692308,96.15384615,94.23076923,92.30769231,90.38461538,87.5,83.65384615,80.76923077,79.80769231,78.84615385
